"id","groupId","resourceType","resourceId","archived"
"26578333","20018429","3","6149134","1"
"26580409","19962697","3","8164168","1"
"26580455","19899227","3","8155114","1"
"26581550","19843600","3","6151053","1"
"26593238","20148906","3","8205636","1"
"26596921","20110327","3","6146147","1"
"26600285","20118989","3","6142627","1"
"26608070","20184927","3","8211243","1"
"26608984","20071986","3","8193484","1"
"26615724","20182997","3","6141705","1"
"26617526","20054132","3","6147617","1"
"26618376","19697746","3","8129193","1"
"26621111","19708484","3","8056549","1"
"26621155","19839462","3","8147354","1"
"26621278","20044504","3","8142050","1"
"26621280","19757563","3","6146145","1"
"26621897","19517514","3","8105605","1"
"26675819","20047232","3","8189487","1"
"26677256","20266234","3","8223976","1"
"26679960","19948907","3","8162202","1"
"26680798","19964617","3","8164436","1"
"26684434","20022145","3","6149170","1"
"26684574","19945661","3","6145052","1"
"26684575","20232868","3","6141206","1"
"26684580","20103920","3","6145156","1"
"26697235","19856143","3","8149433","1"
"26700240","20217307","3","6148197","1"
"26702656","20156296","3","6147009","1"
"26702657","20173986","3","8209554","1"
"26702699","20158807","3","7963995","1"
"26702726","20310985","3","6144340","1"
"26706735","20195389","3","6141074","1"
"26710567","19980804","3","8078501","1"
"26714092","20083977","3","8155164","1"
"26716929","20075652","3","6147257","1"
"26717917","20320232","3","6150350","1"
"26718498","19894998","3","6140971","1"
"26718505","20050985","3","6147732","1"
"26718907","20010353","3","8184052","1"
"26721916","19895018","3","6140971","1"
"26721943","19754960","3","8136635","1"
"26722238","20005895","3","6141850","1"
"26979067","20439171","3","8256240","1"
"26987129","20053251","3","8190545","1"
"26996320","18436936","3","6141221","1"
"26996326","18456055","3","6141221","1"
"27022235","20227138","3","6149237","1"
"27023132","19783524","3","6144038","1"
"27023472","20042744","3","6146538","1"
"27042783","20260851","3","8222785","1"
"27060746","20323276","3","8224771","1"
"27067732","20250119","3","8221773","1"
"27069735","20351528","3","8234819","1"
"27071125","20557113","3","8271653","1"
"27076838","20254489","3","6147865","1"
"27076847","20437901","3","6151045","1"
"27076893","20114301","3","6147268","1"
"27076940","19837898","3","6142290","1"
"27117206","20584365","3","6143729","1"
"27131879","20320845","3","8231349","1"
"27132480","20561258","3","8271379","1"
"27146519","20388906","3","6149586","1"
"27155110","20156204","3","6144221","1"
"27155134","20356842","3","6144221","1"
"27180816","20711947","3","8274753","1"
"27188913","19853014","3","6146272","1"
"27190520","20683031","3","6148467","1"
"27190725","19942471","3","6149112","1"
"27199730","20673114","3","6142492","1"
"27205687","20688080","3","6143560","1"
"27205711","20189793","3","8209258","1"
"27208818","20221884","3","6143897","1"
"27209421","20690667","3","6141283","1"
"27209479","20734337","3","6141283","1"
"27209938","20692717","3","8157149","1"
"27210357","19804506","3","8142856","1"
"27254939","20532981","3","6142260","1"
"27255521","20733389","3","8308983","1"
"27265691","20568476","3","6149626","1"
"27266999","20636600","3","7792376","1"
"27269191","20497484","3","6145215","1"
"27291146","20422323","3","6151100","1"
"27317045","20733395","3","8308983","1"
"27320207","20764957","3","8313130","1"
"27335963","18926078","3","7992682","1"
"27337389","20632132","3","6150137","1"
"27340456","20573531","3","6148155","1"
"27344463","20801697","3","6144980","1"
"27348161","20360799","3","8112685","1"
"27348657","20818505","3","6149455","1"
"27349400","20360881","3","8084957","1"
"27349827","20360894","3","6149764","1"
"27350174","20424191","3","6144476","1"
"27424355","20534771","3","6145098","1"
"27432628","20359187","3","8243707","1"
"27456734","20775269","3","8313749","1"
"27477394","20661784","3","8274675","1"
"27484087","20050998","3","6147732","1"
"27484888","20326227","3","6145969","1"
"27485230","20333362","3","8233171","1"
"27485509","20319645","3","7950873","1"
"27485732","20305250","3","6145013","1"
"27529963","19946725","3","8161888","1"
"27533396","20669100","3","6144137","1"
"27583743","20992934","3","6141290","1"
"27585967","20560145","3","8208339","1"
"27586965","20927813","3","6146597","1"
"27605744","20969973","3","8344579","1"
"27615254","20956881","3","6144219","1"
"27621242","20319113","3","8201296","1"
"27621364","20391111","3","8248752","1"
"27711086","21092861","3","6143378","1"
"27727830","21079953","3","6145281","1"
"27732009","21133398","3","8056126","1"
"27754227","20938084","3","8338995","1"
"27754229","20937893","3","8338995","1"
"27754663","20889263","3","6140942","1"
"27758489","21075309","3","6146954","1"
"27760002","20362520","3","6145322","1"
"27762932","20629047","3","6149623","1"
"27763951","20334573","3","8233307","1"
"27764051","20362524","3","8222379","1"
"27837794","21191306","3","6150829","1"
"27840227","20723172","3","8307713","1"
"27840234","20723176","3","8307713","1"
